          x    z         dist
72928  1736  128  1084.298274
72927  1736  120  1084.298831
73261  1744  104  1084.300258
73260  1744   96  1084.301023
72929  1736  136  1084.301038
73262  1744  112  1084.301064
72926  1736  112  1084.301184
73263  1744  120  1084.302929
72925  1736  104  1084.303870
73259  1744   88  1084.304300
73264  1744  128  1084.306151
72930  1736  144  1084.307062
72924  1736   96  1084.308259
72931  1736  152  1084.310918
73258  1744   80  1084.311452
73265  1744  136  1084.313102
72923  1736   88  1084.314343
72932  1736  160  1084.315301
73257  1744   72  1084.320036
72933  1736  168  1084.321696
